,time_stamp,x_cod_left_gaze,y_cod_left_gaze,x_cod_right_gaze,y_cod_right_gaze
2753,13620496635,1310.1278686523438,560.1565432548523,1310.7761764526367,507.3827075958252
2754,13620513289,1312.598648071289,561.1092638969421,1315.4253387451172,512.7701818943024
2755,13620529944,1310.265884399414,563.9646577835083,1315.4253387451172,512.7701818943024
2756,13620546599,1311.7131042480469,563.8763380050659,1308.9098739624023,504.3956708908081
2757,13620563255,1311.7081832885742,564.7874736785889,1308.9098739624023,504.3956708908081
2758,13620579909,1313.203239440918,563.4199333190918,1306.4477920532227,510.12570619583136
2759,13620596564,1308.4870147705078,563.3491230010986,1306.4477920532227,510.12570619583136
2760,13620613219,1306.8806076049805,566.8628597259521,1313.7112426757812,505.8545243740082
2761,13620629873,1311.0777282714844,564.5883679389954,1313.7112426757812,505.8545243740082
2762,13620646529,1312.3988342285156,559.381878376007,1306.6498947143555,520.8727812767029
2763,13620663184,1313.9636993408203,561.7107009887695,1306.6498947143555,520.8727812767029
2764,13620679838,1309.764404296875,568.3088064193726,1319.4532012939453,523.0508422851564
2765,13620696493,1308.2624816894531,540.7088112831116,1319.4532012939453,523.0508422851564
2766,13620713148,1224.309425354004,541.1370849609375,,
2767,13620729803,1138.8701248168945,562.7252840995789,,
2768,13620746458,,,,
2769,13620763113,,,,
2770,13620779767,,,,
2771,13620796422,,,,
2772,13620813078,,,,
2773,13620829733,,,,
2774,13620846387,,,,
2775,13620863042,,,,
2776,13620879697,,,518.3085823059082,885.6899213790894
2777,13620896352,,,513.8506507873536,888.994574546814
2778,13620913007,711.836986541748,862.6040840148926,510.41141510009766,891.5440678596497
2779,13620929661,711.836986541748,862.6040840148926,522.085018157959,787.9223084449768
2780,13620946315,603.5238647460938,833.0691003799438,514.4840240478516,779.9283385276794
2781,13620962971,587.1683120727539,816.195387840271,516.1584091186523,798.7920141220093
2782,13620979626,578.071174621582,815.112054347992,501.2031555175781,803.7175154685974
2783,13620996280,584.7096061706543,829.61580991745,489.6160697937012,802.4242615699768
2784,13621012935,583.4789085388184,841.0320425033569,490.176944732666,804.774649143219
2785,13621029590,605.5690383911133,861.6779494285583,508.6180686950685,780.5465126037598
2786,13621046245,621.6666984558105,859.0074348449708,539.6035766601562,791.1254453659058
2787,13621062900,615.582447052002,836.0535621643066,549.6537780761719,814.7838807106018
2788,13621079555,601.208324432373,836.0372757911682,545.2524948120117,816.4726424217224
2789,13621096210,617.138786315918,857.369978427887,540.1824188232422,819.5860433578491
2790,13621112864,628.0403709411621,857.9554510116577,547.8976249694824,815.0074481964111
2791,13621129520,624.078426361084,856.5713667869568,544.2440414428711,815.3300213813782
2792,13621146175,631.5359115600586,866.1852192878723,543.0560302734375,811.7964577674866
2793,13621162829,630.5445098876953,866.8784523010254,551.403923034668,808.8676142692566
2794,13621179484,630.5814170837402,867.3906683921814,551.8002319335938,810.2950859069824
2795,13621196139,625.7837104797364,861.980631351471,544.4242286682129,805.3726744651794
2796,13621212794,613.24893951416,889.1050386428833,542.5289154052734,807.4915766716003
2797,13621229449,619.2701911926268,886.6382002830505,542.9206466674805,813.953082561493
2798,13621246104,644.9949073791504,859.4632601737976,541.5328788757325,810.1063442230226
2799,13621262758,642.0252799987793,863.4446668624878,542.0635986328125,805.1615309715271
2800,13621279413,634.6517372131348,863.0735564231873,545.8401489257811,806.1844182014465
2801,13621296069,628.5518646240234,860.9260082244873,549.8169136047363,807.8077125549316
2802,13621312723,621.0162162780762,860.771963596344,550.1668167114258,800.146164894104
2803,13621329378,616.1985397338868,855.6873965263367,550.953254699707,795.8793926239014
2804,13621346033,612.6695251464844,862.7602529525757,534.5659446716307,800.0431036949158
2805,13621362688,600.0125312805176,862.7516913414001,518.2336235046387,805.9495854377747
2806,13621379343,607.5567626953125,859.1265892982483,512.6166915893555,802.2391891479492
2807,13621395998,608.7617111206055,854.904363155365,505.8493423461914,802.1129536628723
2808,13621412653,602.6164054870605,850.6218194961548,514.5768356323242,806.3638257980347
2809,13621429307,605.2574157714844,851.9806051254272,511.885929107666,803.2678699493408
